단속장소,count,도로명주소,지번주소
서울특별시 강서구 방화동로 공항시장역,173,서울특별시 강서구 방화동로 지하30 (공항동),서울특별시 강서구 공항동 산20-2 공항시장역(9호선)
서울특별시 강서구 마곡중앙5로 52-17,172,서울특별시 강서구 마곡중앙5로 52-17 (마곡동),서울특별시 강서구 마곡동 737-7 피케이하우스
서울특별시 강서구 김포공항 내,171,서울특별시 강서구?하늘길?111?(공항동),서울특별시?강서구?공항동 1373?국내선?주차대기실
서울특별시 강서구 강서세무서앞,167,서울특별시 강서구 마곡서1로 60 (마곡동),서울특별시 강서구 마곡동 745-1
서울특별시 강서구  마곡동 761-4,166,서울특별시 강서구?양천로?242?(마곡동),서울특별시 강서구?마곡동?761-2 대영가스충전소
서울특별시 강서구 공항대로 649-12,166,서울특별시 강서구 공항대로 649-12 (염창동),서울특별시 강서구 염창동 283-8 강남타워
서울특별시 강서구 신동아아파트사거리,161,서울특별시 강서구 양천로67길 32 (염창동),서울특별시 강서구 염창동 289
서울특별시 강서구 강서로33가길 5,161,"서울특별시 강서구 강서로33가길 5 (화곡동, 반석빌라)",서울특별시 강서구 화곡동 1050-32 반석빌라
서울특별시 강서구 발산로 강서수산시장,160,서울특별시 강서구 발산로 24 (외발산동),서울특별시 강서구 외발산동 424
서울특별시 강서구 엠밸리3단지301동앞,159,서울특별시 강서구 마곡서1로 132 (마곡동),마곡동 736
서울특별시 강서구 궁산땅굴전시관 ,159,서울특별시 강서구 양천로49길 102 (마곡동),서울특별시 강서구 마곡동 11 궁산 땅굴 역사전시관
서울특별시 강서구 마곡중앙10로 ,159,서울특별시 강서구 마곡중앙10로 10 (마곡동),서울특별시 강서구 마곡동 770 LG사이언스파크
서울특별시 강서구 마곡중앙8로 ,155,서울특별시 강서구 마곡중앙8로 14 (마곡동),서울특별시 강서구 마곡동 771-1
서울특별시 강서구 공항대로 653-9,153,서울특별시 강서구 공항대로 653-9 (염창동),서울특별시 강서구 염창동 283-2 팔레시움
서울특별시 강서구 공항동 1373 김포공항,153,서울특별시 강서구 하늘길 197 (공항동),서울특별시 강서구 공항동 1373-5 김포공항급수시설
서울특별시 강서구 화곡초등학교,153,서울특별시 강서구 초록마을로 28 (화곡동),서울특별시 강서구 화곡동 24-266 서울화곡초등학교
서울특별시 강서구 강서로33가길 13,150,서울특별시 강서구 강서로33가길 13 (화곡동),서울특별시 강서구 화곡동 1050-16
서울특별시 강서구 곰달래로24길 12,146,"서울특별시 강서구 곰달래로24길 12 (화곡동, 동양하우징)",서울특별시 강서구 화곡동 899-4 동양하우징
서울특별시 강서구 공항대로46길 구청뒷길,145,서울특별시 강서구 공항대로46길 61 (화곡동),서울특별시 강서구 화곡동 1115-7
서울특별시 강서구 공항대로61길 비원빌딩,144,서울특별시 강서구 공항대로 525 (등촌동),서울특별시 강서구 등촌동 648-6
서울특별시 강서구  화곡동 662-15,142,서울특별시 강서구 가로공원로 지하189 (화곡동),서울특별시 강서구 화곡동 662-15 가로공원로 지하공영주차장
