crosswalk_id,교차로,신호등,주변학교유무,사고건수,car,cctv,safe,smart,demo_weight
06-0000049671,1,0,1,15.0,0.0,0,0,0,241.12957264957265
06-0000012108,1,1,1,12.0,0.117808219,0,13,0,351.12273504273514
06-0000012149,1,1,1,47.0,0.073972603,0,4,0,359.748717948718
06-0000049584,1,0,0,1.0,0.0,0,0,0,482.2591452991453
06-0000041927,1,1,1,10.0,1.142465753,1,3,0,1404.4909401709406
06-0000012155,1,1,1,8.0,0.36027397299999997,0,11,0,241.12957264957265
06-0000037803,1,1,1,47.0,0.036986301,0,28,0,359.748717948718
06-0000012144,1,1,1,48.0,0.036986301,0,10,0,359.748717948718
06-0000041928,1,1,1,10.0,1.175342466,1,3,0,1404.4909401709406
06-0000049587,1,0,0,1.0,0.0,0,0,0,482.2591452991453
06-0000037802,1,1,1,52.0,0.39726027399999997,0,18,0,359.748717948718
06-0000039074,1,1,1,52.0,0.39726027399999997,0,10,0,359.748717948718
06-0000037223,0,0,1,3.0,0.056164384000000005,1,0,0,1404.4909401709406
06-0000013180,0,0,1,11.0,0.47123287700000005,0,0,0,1404.4909401709406
06-0000012145,1,1,1,48.0,0.36027397299999997,0,15,0,359.748717948718
06-0000011839,0,0,1,1.0,0.19863013699999998,1,0,0,1053.3682051282049
06-0000045754,1,0,0,2.0,0.0,0,0,0,482.2591452991453
06-0000049669,0,0,0,2.0,0.206849315,0,0,0,361.6943589743589
06-0000045757,1,0,0,2.0,0.0,0,0,0,482.2591452991453
06-0000051728,1,0,0,0.0,0.0,0,0,0,482.2591452991453
06-0000048567,0,0,1,15.0,0.36027397299999997,0,0,0,241.12957264957265
06-0000012597,0,0,1,2.0,0.23013698600000002,0,0,0,702.2454700854703
06-0000025095,1,1,1,10.0,0.36027397299999997,0,5,0,241.12957264957265
06-0000024640,0,0,0,2.0,0.0,1,0,0,539.6230769230771
06-0000045755,1,0,0,2.0,0.0,0,0,0,482.2591452991453
06-0000040430,1,1,1,0.0,4.604109589,0,1,0,361.6943589743589
06-0000045756,1,0,0,2.0,0.0,0,0,0,482.2591452991453
06-0000013171,1,1,1,9.0,1.02739726,0,3,0,1404.4909401709406
06-0000028537,0,0,0,0.0,0.0,1,0,0,719.4974358974359
06-0000051356,1,0,1,9.0,1.02739726,0,0,0,1404.4909401709406
06-0000046650,1,0,1,12.0,0.0,0,0,0,361.6943589743589
06-0000049589,1,0,0,1.0,0.0,0,0,0,482.2591452991453
06-0000049590,1,0,0,0.0,0.0,0,0,0,482.2591452991453
06-0000031747,1,0,1,11.0,0.606849315,0,0,0,1404.4909401709406
06-0000012152,1,1,1,9.0,0.36027397299999997,0,4,0,241.12957264957265
06-0000028088,0,0,1,3.0,0.224657534,1,0,0,1404.4909401709406
06-0000049632,1,0,1,11.0,0.0,0,0,0,361.6943589743589
06-0000028089,0,0,1,3.0,0.224657534,1,0,0,1404.4909401709406
06-0000028087,0,0,1,3.0,0.224657534,1,0,0,1404.4909401709406
06-0000031466,0,0,0,1.0,0.0,1,0,0,539.6230769230771
06-0000025506,0,0,1,1.0,0.0,1,0,0,539.6230769230771
06-0000049977,1,1,1,7.0,0.052054795,0,1,0,361.6943589743589
06-0000028086,0,0,1,3.0,0.224657534,1,0,0,1404.4909401709406
06-0000049581,1,0,0,3.0,0.0,0,0,0,482.2591452991453
06-0000011838,1,1,1,3.0,0.291780822,0,6,0,702.2454700854703
06-0000049634,1,0,1,15.0,0.0,0,0,0,361.6943589743589
06-0000013160,1,1,1,11.0,0.21369863,0,2,0,1755.6136752136752
