시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,도로명주소,도로명상세주소,수정일
B10,서울특별시교육청,강서구,교습소,3000012025,등촌원어민중국어교습소,20110915,20110915,개원,,,35,8,국제화,외국어,초등1,실용외국어(유아/초·중·고),,Y,N,157930,서울특별시 강서구 공항대로41길 51,세신그린코아 714호 (등촌동),20230226
B10,서울특별시교육청,강서구,교습소,3000038068,등촌플라톤논술교습소,20201217,20201217,개원,,,78,6,입시.검정 및 보습,보통교과,중등논술(저),보습·논술,중등논술(저):147000/ 초등논술(저):78000/ 초등논술(4):83000/ 초등논술(5):88000/ 초등논술(6):93000/ 고전논술:68000/ 역사논술:100000/ 시사논술:77000/ 쓰기논술:50000/ 교과논술:56000/ 논술특강-글쓰기:79000/ 논술특강-한국사:79000/ 스마트독서:59000,Y,N,07587,서울특별시 강서구 공항대로41길 66,/ 6층 602호 (등촌동/ 세신등촌종합상가),20230226
B10,서울특별시교육청,강서구,교습소,3000035654,뚜띠피아노교습소,20191126,20191126,개원,,,20,5,예능(대),예능(중),피아노(초등),음악,피아노(초등):150000/ 피아노(초등):160000/ 피아노(초등):170000/ 피아노(초등):180000,Y,N,07807,서울특별시 강서구 마곡중앙로 59-21,/ 423호 (마곡동/ 에이스타워2),20230226
B10,서울특별시교육청,강서구,교습소,3000043136,라라(RARA)피아노교습소,20230120,20230120,개원,,,10,5,예능(대),예능(중),,음악,,Y,N,07750,서울특별시 강서구 곰달래로31길 8,/ 5층일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000036191,라라키즈가든꽃꽂이교습소,20200129,20200129,개원,,,9,9,기타(대),기타(중),,꽃꽂이,,Y,N,07807,서울특별시 강서구 마곡중앙1로 20,/ 421호 (마곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000040511,라라피카소미술교습소,20211230,20211230,개원,,,18,9,예능(대),예능(중),미술1,미술,미술1:90000/ 미술2:140000,N,N,07635,서울특별시 강서구 수명로2길 105,/ 203호 (내발산동/ 마곡수명산파크5단지상가),20230312
B10,서울특별시교육청,강서구,교습소,3000039360,라온수학교습소,20210707,20210707,개원,,,27,9,입시.검정 및 보습,보통교과,수학초등,보습,수학초등:200000/ 수학중등:350000/ 수학고등:500000,Y,N,07582,서울특별시 강서구 강서로68길 12,/ 3층 일부 (등촌동/ 인방빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000025986,라온피아노음악교습소,20160414,20160414,개원,,,15,9,예능(대),예능(중),피아노초급,음악,피아노초급:130000/ 피아노중급:140000/ 피아노고급:150000,Y,N,07746,서울특별시 강서구 곰달래로33길 37,/ 1층일부 (화곡동/ 백운 인베스트 빌),20230226
B10,서울특별시교육청,강서구,교습소,3000038535,란쌤수학교습소,20210304,20210304,개원,,,15,3,입시.검정 및 보습,보통교과,중등A,보습,중등A:320000/ 중등B:370000/ 고등A:320000/ 고등B:370000/ 고등C:420000,Y,N,07808,서울특별시 강서구 공항대로 140,/ 업무시설2동 207호 (마곡동/ 마곡엠밸리12단지),20230226
B10,서울특별시교육청,강서구,교습소,3000043507,랑아미술교습소,20230313,20230313,개원,,,12,4,예능(대),예능(중),,미술,,Y,N,07510,서울특별시 강서구 금낭화로 135,/ 331호 (방화동/ 금강프라자빌딩),20230319
B10,서울특별시교육청,강서구,교습소,23640,랭귀지앤드비욘드영어교습소,20090402,20090402,개원,,,20,5,입시.검정 및 보습,보통교과,영어(초),보습,영어(초):250000/ 영어(초):150000/ 영어(중):150000/ 영어(중):300000,N,N,07691,서울특별시 강서구 강서로 254,/ 상가동 403호일부 (화곡동/ 우장산 아이파크 이편한세상),20230226
B10,서울특별시교육청,강서구,교습소,3000039616,레가토바이올린교습소,20210818,20210818,개원,,,8,4,예능(대),예능(중),,음악,바이올린A(입시):180000/ 바이올린B(입시):200000/ 바이올린(입시):80000,Y,N,07524,서울특별시 강서구 강서로 532,/ 109호 상가동 (가양동/ 동신아파트/대아아파트),20230226
B10,서울특별시교육청,강서구,교습소,3000024027,레인보우아트미술교습소,20150826,20150826,개원,,,6,6,예능(대),예능(중),,미술,,Y,N,157915,서울특별시 강서구 화곡로44나길 58,/ 2층 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,15767,로봇멘토과학교습소,20061228,20061228,개원,,,45,6,입시.검정 및 보습,보통교과,초등과학1,보습,초등과학1:90000/ 초등과학2:135000/ 초등과학3:67000/ 초등과학4:135000/ 초등과학5:200000/ 초등과학6:90000/ 초등과학7:180000/ 초등과학8:270000/ 중등과학1:97000/ 중등과학2:195000/ 중등과학3:290000/ 중등과학4:390000/ 고등과학1:210000/ 고등과학2:320000/ 고등과학3:430000,Y,N,157930,서울특별시 강서구 공항대로41길 66,세신종합상가 5층 509호 (등촌동),20230226
B10,서울특별시교육청,강서구,교습소,3000041948,로지컬과학교습소,20220725,20220725,개원,,,10,5,입시.검정 및 보습,보통교과,,보습,,Y,N,07586,서울특별시 강서구 공항대로41길 51,/ 8층810호 (등촌동/ 세신그린코아빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000026161,류클라리넷플룻음악교습소,20160517,20160517,개원,,,12,4,예능(대),예능(중),클라리넷(일반),음악,,Y,N,07586,서울특별시 강서구 공항대로41길 51,/ 세신그린코아 219호 (등촌동),20230226
B10,서울특별시교육청,강서구,교습소,3000037815,르블루아뜰리에미술교습소,20201106,20201106,개원,,,72,9,예능(대),예능(중),,미술,,Y,N,07692,서울특별시 강서구 강서로46길 47,/ 1층 일부 (내발산동/ 동산빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000022964,리더투리더영어교습소,20150406,20150403,개원,,,90,9,입시.검정 및 보습,보통교과,초등영어(PRE),보습,초등영어(PRE):260000/ 초등영어(Reader1):280000/ 초등영어(Reader2):280000/ 초등영어(Chapter1):300000/ 초등영어(Chapter2):300000/ 중등영어(Novel):300000/ 초등영어(Bookclub1):40000/ 초등영어(Bookclub2):80000/ 초등영어(Bookclub3):100000/ 초등영어(Bookclub4):120000,Y,N,07695,서울특별시 강서구 우현로 9,/ 3층 (화곡동),20230319
B10,서울특별시교육청,강서구,교습소,3000033848,리드나인영어교습소,20190306,20190306,개원,,,78,6,국제화,외국어,초등1,실용외국어(유아/초·중·고),,Y,N,07587,서울특별시 강서구 공항대로41길 66,/ 403호 (등촌동/ 세신등촌종합상가),20230226
B10,서울특별시교육청,강서구,교습소,3000039061,리드나인주니어영어교습소,20210521,20210521,개원,,,24,4,입시.검정 및 보습,보통교과,,보습,,Y,N,07586,서울특별시 강서구 공항대로41길 51,/ 414호 (등촌동/ 세신그린코아빌딩),20230226
